date,product_id,store,price_usd,price_original,currency_original,product_name_found,url_found,flagged,flag_reason
2026-06-12,sardinas,plansuarez,5.8,"Bs.3,379.58",VES,SARDINAS NOYA 184GR ACEITE VEGETAL SIN PIEL/ESPINAS,https://www.plansuarez.com/index.php?route=product/search&search=sardinas,False,
2026-06-12,tomate,central,4.39,"4,39",USD,Tomate Manzano Hidroponico Bandeja,https://tucentralonline.com/Av-Presidente-Medina-02/comprar/fruteria-y-vegetales/vegetales/?s=tomate,False,
2026-06-12,tomate,gama,6.38,"Ref. 6,38",USD,"TOMATE MANZANO EN BANDEJA 1,200 KG",https://gamaenlinea.com/es,False,
2026-06-12,tomate,plansuarez,1.33,Bs.776.92,VES,BANDEJA TOMATE PERITA !500! GR,https://www.plansuarez.com/index.php?route=product/search&search=tomate,False,
2026-06-14,aceite,central,4.19,"4,19",USD,Aceite Coposa Vegetal 850Mlts,https://tucentralonline.com/Av-Presidente-Medina-02/comprar/viveres/margarinas-y-aceites/?s=aceite+coposa+vegetal+850,False,
2026-06-14,aceite,gama,4.45,"Ref. 4,45",USD,ACEITE VEGETAL VATEL 1 LT,https://gamaenlinea.com/es,False,
2026-06-14,aceite,plansuarez,4.49,"Bs.2,614.80",VES,ACEITE VATEL 1LT VEGETAL,https://www.plansuarez.com/index.php?route=product/search&search=aceite+vegetal,False,
2026-06-14,arroz,central,1.57,"1,57",USD,Arroz Monica Blanco Tipo I 900Gr,https://tucentralonline.com/Av-Presidente-Medina-02/comprar/viveres/arroz-y-granos/?s=arroz+monica+blanco+900,False,
2026-06-14,arroz,gama,2.9,"Ref. 2,90",USD,ARROZ BLANCO PREMIUM TIPO 1 MARY 2 KG,https://gamaenlinea.com/es,False,
2026-06-14,arroz,plansuarez,1.73,"Bs.1,007.70",VES,ARROZ PANTERA 908GR TIPO 1 BLANCO,https://www.plansuarez.com/index.php?route=product/search&search=arroz+blanco,False,
2026-06-14,atun,central,2.37,"2,37",USD,Atun Pafia Lomo en Agua 140Grs,https://tucentralonline.com/Av-Presidente-Medina-02/comprar/viveres/enlatados/?s=atun+pafia+agua+140,False,
2026-06-14,atun,gama,2.35,"Ref. 2,35",USD,ATÚN SÓLIDO EN AGUA GAMA 160 GR,https://gamaenlinea.com/es,False,
2026-06-14,atun,plansuarez,3.25,"Bs.1,893.11",VES,ATUN LA FRAGUA 145GR AHUMADO,https://www.plansuarez.com/index.php?route=product/search&search=atun,False,
2026-06-14,azucar,central,1.99,"1,99",USD,Azucar Kaly Blanca Plastico 1Kg,https://tucentralonline.com/Av-Presidente-Medina-02/comprar/viveres/cafe-y-endulzantes/?s=azucar+kaly+blanca+1kg,False,
